,Country,Valence,Popularity,Loudness,Danceability,Energy
0,mexican,0.6548648994788719,43.72364596516756,-9.533351206322802,0.6072576093440873,0.5714118010965924
1,australian,0.5533331850685225,47.18222031918566,-8.789136863908299,0.5685894565018602,0.6120599363231353
2,argentine,0.5526653098269871,48.30037049501578,-8.906935452697688,0.5776427089982419,0.6079218612093613
3,colombian,0.5802490794923861,47.514584050445585,-8.77779057468384,0.589611802703807,0.6169105654467906
4,chile,0.5862390255529499,47.866568795080134,-8.67220583475525,0.5995981607820065,0.6136822993545475
5,japan,0.5644650988254114,46.8633515719547,-8.780044563382585,0.5646833847695018,0.6288260142022466
6,chinese,0.5357773332080157,46.179930422755675,-9.395782506263506,0.5529707498234703,0.6011000133208791
7,spanish,0.5369343737049844,44.99263211837463,-9.540664278522565,0.551359281240883,0.5972864139741334
8,canadian,0.5160797431643017,44.862704786556876,-9.589121465265615,0.5422401900033733,0.5948454652998307
9,american,0.507144174782067,44.35418534957874,-9.924787776692686,0.5354182212038182,0.5786070850313113
10,french,0.5026093629355523,43.97660206805661,-9.926477064501551,0.5351956957304635,0.578869616393654
11,german,0.49458338843875577,43.224359518210015,-10.099468564294256,0.5311689201706432,0.5748751532257673
12,russia,0.4936228799537645,42.82788812654418,-10.140686901119569,0.5287930279272236,0.5726177336015398
13,indonesian,0.4905281122510883,43.100231353361714,-10.191850648995924,0.5288188001461248,0.5689226481634808
14,indian,0.492604127622685,42.73011232938988,-10.23818392225768,0.5298395033786212,0.5670523739798584
15,south african,0.4928631429693996,42.93095610465163,-10.242897250328285,0.5320368326372049,0.5672776661603853
16,nigerian,0.49355743388173046,42.99653984066258,-10.216820060817673,0.5325045537673625,0.5681996491294573
17,belgian,0.49071026189876227,43.134451133321015,-10.19405411912564,0.5337934530707219,0.5700503418263652
18,brazil,0.494504360654407,42.85178165887902,-10.14620363825336,0.5349232937915683,0.5752343373097513
19,british,0.49047461288053185,42.45973725515061,-10.281752525264189,0.5316645331639014,0.5696471147867884
20,czech,0.49057127056068045,42.219369651213896,-10.278150093319942,0.53074618712533,0.5681884571897191
21,danish,0.48631734812100336,42.13124828980746,-10.292956304566724,0.5321449836681669,0.5695639210655368
22,dutch,0.485806265532242,42.172894330160965,-10.265423736800114,0.5334199815201,0.5707362353943664
23,greek,0.4880588805609049,41.66720484239583,-10.296331468674522,0.5321282383690651,0.5678470160159086
24,icelandic,0.48147394601397225,41.872706120225594,-10.350541492579444,0.5313498507594941,0.5628096124205578
25,israeli,0.4813708844503839,41.673822041510014,-10.388405112025108,0.5310806532639817,0.5605396195554263
